originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","ABW","Aruba",0,0,0,0
10,"Latin America",6,"South Asia",6881,4620,833,192,,"ABW","Aruba","AFG","Afghanistan",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","AGO","Angola",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","ALB","Albania",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","ANT","Netherlands Antilles",0,0,0,634
10,"Latin America",5,"West Asia",7745,382,12289,22525,,"ABW","Aruba","ARE","United Arab Emirates",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","ARG","Argentina",0,0,0,0
10,"Latin America",4,"Fmr Soviet Union",261,155,4075,9537,,"ABW","Aruba","ARM","Armenia",0,0,0,0
10,"Latin America",9,"Oceania",15242,14267,26779,38337,,"ABW","Aruba","AUS","Australia",0,5,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","AUT","Austria",0,1,0,0
10,"Latin America",4,"Fmr Soviet Union",261,155,4075,9537,,"ABW","Aruba","AZE","Azerbaijan",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","BDI","Burundi",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","BEL","Belgium",0,0,0,1
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","BEN","Benin",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","BFA","Burkina Faso",0,0,0,0
10,"Latin America",6,"South Asia",6881,4620,833,192,,"ABW","Aruba","BGD","Bangladesh",0,13,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","BGR","Bulgaria",0,0,0,0
10,"Latin America",5,"West Asia",7745,382,12289,22525,,"ABW","Aruba","BHR","Bahrain",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","BHS","Bahamas",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","BIH","Bosnia & Herzegovina",0,0,0,0
10,"Latin America",4,"Fmr Soviet Union",261,155,4075,9537,,"ABW","Aruba","BLR","Belarus",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","BLZ","Belize",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","BOL","Bolivia",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","BRA","Brazil",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","BRB","Barbados",0,1,0,0
10,"Latin America",8,"South-East Asia",4477,4848,2308,2404,,"ABW","Aruba","BRN","Brunei",0,0,0,0
10,"Latin America",6,"South Asia",6881,4620,833,192,,"ABW","Aruba","BTN","Bhutan",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","BWA","Botswana",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","CAF","Central African Republic",0,0,0,0
10,"Latin America",1,"North America",3430196,3749837,4377286,3596669,,"ABW","Aruba","CAN","Canada",0,35,0,2
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","CHE","Switzerland",0,0,0,2
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","CHI","Channel Islands",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","CHL","Chile",0,0,0,0
10,"Latin America",7,"East Asia",118517,101920,94742,140596,,"ABW","Aruba","CHN","China",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","CIV","Côte d'Ivoire",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","CMR","Cameroon",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","COD","DR Congo",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","COG","Congo",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","COL","Colombia",0,30,0,11
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","COM","Comoros",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","CPV","Cape Verde",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","CRI","Costa Rica",0,2,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","CUB","Cuba",0,0,0,0
10,"Latin America",5,"West Asia",7745,382,12289,22525,,"ABW","Aruba","CYP","Cyprus",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","CZE","Czech Republic",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","DEU","Germany",17,28,0,2
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","DJI","Djibouti",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","DNK","Denmark",0,1,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","DOM","Dominican Republic",0,71,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","DZA","Algeria",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","ECU","Ecuador",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","EGY","Egypt",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","ERI","Eritrea",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","ESH","Western Sahara",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","ESP","Spain",0,0,0,2
10,"Latin America",4,"Fmr Soviet Union",261,155,4075,9537,,"ABW","Aruba","EST","Estonia",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","ETH","Ethiopia",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","FIN","Finland",0,0,0,0
10,"Latin America",9,"Oceania",15242,14267,26779,38337,,"ABW","Aruba","FJI","Fiji",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","FRA","France",0,0,0,4
10,"Latin America",9,"Oceania",15242,14267,26779,38337,,"ABW","Aruba","FSM","Micronesia",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","GAB","Gabon",0,0,0,0
10,"Latin America",3,"Europe",545147,426650,1655890,1632795,,"ABW","Aruba","GBR","United Kingdom",0,1,0,1
10,"Latin America",4,"Fmr Soviet Union",261,155,4075,9537,,"ABW","Aruba","GEO","Georgia",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","GHA","Ghana",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","GIN","Guinea",0,0,0,0
10,"Latin America",10,"Latin America",638385,628290,680458,671267,,"ABW","Aruba","GLP","Guadeloupe",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","GMB","Gambia",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","GNB","Guinea-Bissau",0,0,0,0
10,"Latin America",2,"Africa",34259,4790,18521,17892,,"ABW","Aruba","GNQ","Equatorial Guinea",0,0,0,0
