iso,show (1 = yes; 2 = no)
USA,1
IND,1
DEU,1
MEX,1
PAK,1
RUS,1
BGD,1
GBR,1
ESP,1
CHN,1
AFG,1
ITA,1
SAU,1
CAN,1
ARE,1
IDN,1
PHL,1
KAZ,1
FRA,1
MYS,1
RWA,1
AUS,1
IRN,1
THA,1
UKR,1
COD,1
ZAF,1
EGY,1
CIV,1
ETH,1
JPN,1
MAR,1
UZB,1
BFA,1
ZWE,1
SDN,1
GIN,1
ISR,1
TUR,1
SYR,1
PER,1
TZA,1
HKG,1
GHA,1
UGA,1
JOR,1
NLD,1
BDI,1
SOM,1
KWT,1
SGP,1
SRB,1
NGA,1
KOR,1
MMR,1
VNM,1
PRT,1
BRA,1
BIH,1
CHE,1
GRC,1
ARG,1
ROU,1
GEO,1
TJK,1
NZL,1
SLV,1
SLE,1
YEM,1
GTM,1
MOZ,1
MWI,1
KEN,1
LBR,1
QAT,1
ECU,1
POL,1
SWE,1
ARM,1
LKA,1
IRQ,1
AUT,1
DOM,1
ALB,1
NPL,1
HRV,1
LBN,1
MDA,1
BGR,1
COL,1
DZA,1
KGZ,1
BEL,1
IRL,1
HTI,1
NIC,1
ZMB,1
VEN,1
ERI,1
KHM,1
BOL,1
LBY,1
CZE,1
MLI,1
OMN,1
SEN,1
PRI,1
BHR,1
CUB,1
CRI,1
HND,1
TCD,1
AGO,1
BLR,1
CHL,1
DNK,1
NOR,1
AZE,1
BEN,1
JAM,1
TGO,1
SVN,1
LTU,1
PSE,0
HUN,0
NER,0
LAO,0
TKM,0
TLS,0
SVK,0
TUN,0
PRY,0
CMR,0
COG,0
GAB,0
FIN,0
BRN,0
GMB,0
CAF,0
URY,0
MKD,0
LVA,0
CYP,0
BTN,0
MAC,0
GUY,0
MNG,0
FJI,0
ESH,0
EST,0
BWA,0
LUX,0
NAM,0
SWZ,0
MNE,0
LSO,0
PAN,0
MUS,0
GNB,0
MRT,0
PRK,0
TTO,0
GNQ,0
ANT,0
CPV,0
BLZ,0
WSM,0
GUM,0
CHI,0
DJI,0
MDG,0
ISL,0
GUF,0
MYT,0
SUR,0
COM,0
PNG,0
REU,0
TON,0
ABW,0
FSM,0
STP,0
MTQ,0
VCT,0
BHS,0
GRD,0
GLP,0
NCL,0
BRB,0
MLT,0
VIR,0
LCA,0
PYF,0
VUT,0
MDV,0
SLB,0
